,1,2,3,4,5,6,7,8,9,10
21,hit,stand,stand,stand,stand,stand,stand,stand,stand,stand
20,hit,stand,stand,stand,stand,stand,stand,stand,stand,stand
19,hit,stand,stand,stand,stand,stand,stand,stand,stand,stand
18,hit,stand,stand,stand,stand,stand,stand,stand,stand,stand
17,hit,double,double,stand,stand,stand,double,double,double,double
16,hit,double,double,double,double,double,double,double,double,double
15,hit,double,double,double,double,double,double,double,double,double
14,hit,double,double,double,double,double,double,double,double,double
13,hit,double,double,double,double,double,double,double,double,double
12,hit,double,double,double,double,double,double,double,double,double
11,hit,double,double,double,double,double,double,double,double,double
10,hit,double,double,double,double,double,double,double,double,double
9,hit,double,double,double,double,double,double,double,double,hit
8,hit,double,double,double,double,double,double,double,hit,hit
7,hit,hit,double,double,double,double,hit,hit,hit,hit
6,hit,hit,double,double,double,double,hit,hit,hit,hit
5,hit,double,double,double,double,double,hit,hit,hit,hit
4,hit,hit,hit,double,double,double,hit,hit,hit,hit
